158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 2.075529, -5.180389, -154.7647, 1.058228, 1527.491
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.836182, -7.348969, 171.2483, 1.280884, 1531.682
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 1.438923, -4.427399, -154.2038, 0.9747314, 1535.246
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, -2.037811, -3.47345, -254.7899, 1.225342, 1588.373
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -4.161652, -5.607056, 67.10824, 1.364502, 1593.97
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -4.262573, -9.824615, 157.908, 0.8912354, 1597.437
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -4.311462, -8.709412, 342.1956, 0.9050293, 1600.945
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 0.5790604, -4.03949, -157.791, 1.253052, 1604.76
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.180237, -5.970306, 169.228, 1.225098, 1608.533
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -4.271057, -7.710602, 68.41264, 1.155762, 1612.181
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 1.222823, -4.617645, -247.5457, 1.114014, 1615.745
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 1.565652, -10.84598, -152.1968, 0.9606934, 1619.935
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 2.387675, -4.684967, -156.3769, 1.23938, 1623.708
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 1.026631, -5.363556, -157.5316, 1.058228, 1627.189
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, closed, 0.9282632, 0.3103998, 20.76205, 1.58728, 1631.198
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 1.447089, -3.257629, -160.4535, 1.072144, 1635.125
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, closed, -4.256409, -11.11316, 151.8951, 1.030273, 1639.273
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 2.768271, -7.944061, 31.57642, 0.9886475, 1643.158
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 1.876962, -7.159241, -150.9136, 1.211304, 1647.975
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 1.843098, -6.369415, 30.2626, 0.9605713, 1651.525
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 2.028772, -9.151764, -148.4745, 1.127808, 1655.284
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -3.471497, -9.116577, 67.45836, 1.086182, 1659.057
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 0.7586954, -6.652588, 29.10873, 1.489746, 1663.094
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, -2.954803, -6.855957, 166.288, 1.476074, 1668.496
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 1.4443, -8.881927, 29.02789, 0.9327393, 1672.13
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 3.022132, -8.95813, -58.65143, 0.9885254, 1675.68
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 1.34042, -5.09317, -155.9817, 1.016479, 1679.245
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, closed, -2.002869, -9.341125, 165.7832, 1.197266, 1682.934
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -2.712616, -7.895172, 116.6023, 1.19751, 1687.542
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 0.8254463, -5.040833, 26.40707, 1.11377, 1691.245
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -3.045227, -8.378754, 65.73714, 1.712524, 1696.842
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, closed, -0.09683228, -2.391754, 25.10806, 1.280884, 1700.838
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -4.525574, -6.732086, 163.4848, 2.617432, 1706.059
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 0.1318483, -1.370148, -58.7211, 1.085938, 1710.027
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 1.755444, -10.42178, -138.6219, 0.8912354, 1713.967
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 0.9376591, -7.945618, -199.9767, 0.9467773, 1717.378
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 1.68024, -5.472382, -147.3247, 1.016357, 1720.997
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -2.043152, -8.192841, 349.7215, 0.9467773, 1724.353
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -2.772095, -10.07059, 151.4973, 1.65686, 1728.682
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -5.176544, -7.387939, 167.9929, 1.294922, 1732.664
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -6.054596, -8.834015, 167.2007, 0.9747314, 1735.908
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -2.657623, -10.80444, 155.8979, 1.085938, 1739.528
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -3.07019, -9.935791, 340.8509, 1.043945, 1743.12
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -3.502777, -10.31732, 156.9844, 0.8911133, 1746.587
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 0.01174651, -13.18787, -134.2292, 0.8355713, 1750.109
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 2.091859, -9.082642, 40.91956, 1.044189, 1753.798
